"State_Name","District","Sub-District","Financial_Year","Month","Indicator_Code","Indicator_Name","Code_And_Section","Reported_Value_for_Public_Facility","Reported_Value_for_Private_Facility","Reported_Value_for_Rural","Reported_Value_for_Urban"
"Maharashtra","Buldana","Malkapur","2019-2020","April","1.6.2.e","Number of babies treated for congenital Syphilis","M1 [Ante Natal Care (ANC)]","0","NA","0","0"
"Maharashtra","Buldana","Malkapur","2019-2020","April","9.5.2","Children more than 5 years received DPT5 (2nd Booster)","M9 [CHILD IMMUNISATION]","4","NA","0","4"
"Maharashtra","Buldana","Malkapur","2019-2020","April","14.4.2","Inpatient - Dengue","M14 [Patient Services]","0","NA","0","0"
"Maharashtra","Buldana","Malkapur","2019-2020","April","14.4.8","Inpatient - Hepatitis","M14 [Patient Services]","0","NA","0","0"
"Maharashtra","Buldana","Malkapur","2019-2020","April","14.13","Number of deaths occurring at SNCU","M14 [Patient Services]","0","NA","NA","0"
"Maharashtra","Buldana","Mehkar","2019-2020","April","1.4.4","Number of PW having severe anaemia (Hb<7) treated","M1 [Ante Natal Care (ANC)]","45","NA","25","20"
"Maharashtra","Buldana","Mehkar","2019-2020","April","9.1.6","Child immunisation - Pentavalent 1","M9 [CHILD IMMUNISATION]","366","NA","312","54"
"Maharashtra","Buldana","Mehkar","2019-2020","April","9.8.1","Child immunisation - Vitamin A Dose - 1","M9 [CHILD IMMUNISATION]","303","NA","303","0"
"Maharashtra","Buldana","Mehkar","2019-2020","April","12.1.1.b","Boys registered in AFHC","M12 [Adolscent Health]","0","NA","0","0"
"Maharashtra","Buldana","Mehkar","2019-2020","April","15.3.3.b","Out of the above, number screened positive","M15 [Laboratory Testing]","0","NA","0","0"
"Maharashtra","Buldana","Jalgaon Jamod","2019-2020","April","14.8.4","Operation minor (No or local anaesthesia)","M14 [Patient Services]","0","NA","0","0"
"Maharashtra","Buldana","Jalgaon Jamod","2019-2020","April","14.12.2","Special Newborn Care Unit (SNCU Admissions) - Inborn Female","M14 [Patient Services]","0","NA","NA","0"
"Maharashtra","Buldana","Jalgaon Jamod","2019-2020","April","16.2.1","Infant Deaths up to 4 weeks due to Sepsis","M16 [Details of deaths reported with probable causes:]","0","NA","0","0"
"Maharashtra","Buldana","Jalgaon Jamod","2019-2020","April","16.5.3","Number of Maternal Deaths due to Abortion","M16 [Details of deaths reported with probable causes:]","0","NA","0","0"
"Maharashtra","Buldana","Jalgaon Jamod","2019-2020","April","16.7.7","Number of Adolscent / Adult deaths due to Cancer","M16 [Details of deaths reported with probable causes:]","0","NA","0","0"
"Maharashtra","Buldana","Jalgaon Jamod","2019-2020","April","16.8.5","Number of Deaths due to Acute Encephelitis Syndrome (AES)","M16 [Details of deaths reported with probable causes:]","0","NA","0","0"
"Maharashtra","Buldana","Khamgaon","2019-2020","April","9.3.1","Child immunisation - Measles & Rubella (MR)- 1st Dose","M9 [CHILD IMMUNISATION]","11","NA","7","4"
"Maharashtra","Buldana","Khamgaon","2019-2020","April","10.9","Childhood Diseases - Measles","M10 [Number of cases of Childhood Diseases (0-5 years)]","0","NA","0","NA"
"Maharashtra","Buldana","Khamgaon","2019-2020","April","15.3.3.c","Out of the above number screened positive, number confirmed with HIV infection at Integrated Counselling and Testing Centre (ICTC)","M15 [Laboratory Testing]","0","NA","0","NA"
"Maharashtra","Buldana","Khamgaon","2019-2020","April","16.3.4","Number of Infant Deaths (1 -12 months) due to Measles","M16 [Details of deaths reported with probable causes:]","0","NA","0","NA"
"Maharashtra","Buldana","Lonar","2019-2020","April","4.1.1.a","Live Birth - Male","M4 [Pregnancy outcome & details of new-born]","12","NA","8","4"
"Maharashtra","Buldana","Lonar","2019-2020","April","5.2","Number of Complicated pregnancies treated with Blood Transfusion","M5 [Complicated Pregnancies]","0","NA","0","0"
"Maharashtra","Buldana","Lonar","2019-2020","April","6.3","Number of mothers provided full course of 180 IFA tablets after delivery","M6 [Post Natal Care (PNC)]","35","NA","28","7"
"Maharashtra","Buldana","Lonar","2019-2020","April","14.12.2","Special Newborn Care Unit (SNCU Admissions) - Inborn Female","M14 [Patient Services]","0","NA","0","0"
"Maharashtra","Buldana","Lonar","2019-2020","April","14.16","Number of Anganwadi centres/ UPHCs reported to have conducted Village Health & Nutrition Day (VHNDs)/ Urban Health & Nutrition Day (UHNDs)/ Outreach / Special Outreach","M14 [Patient Services]","124","NA","124","NA"
"Maharashtra","Buldana","Lonar","2019-2020","April","16.3.5","Number of Infant Deaths (1 -12 months) due to Others","M16 [Details of deaths reported with probable causes:]","1","NA","1","0"
"Maharashtra","Buldana","Lonar","2019-2020","April","16.8.5","Number of Deaths due to Acute Encephelitis Syndrome (AES)","M16 [Details of deaths reported with probable causes:]","0","NA","0","0"
"Maharashtra","Buldana","Malkapur","2019-2020","April","1.2.2","Number of PW given TT2","M1 [Ante Natal Care (ANC)]","125","NA","76","49"
"Maharashtra","Buldana","Malkapur","2019-2020","April","4.1.1.a","Live Birth - Male","M4 [Pregnancy outcome & details of new-born]","20","NA","6","14"
"Maharashtra","Buldana","Malkapur","2019-2020","April","4.1.1.b","Live Birth - Female","M4 [Pregnancy outcome & details of new-born]","34","NA","8","26"
"Maharashtra","Buldana","Malkapur","2019-2020","April","14.1.2","Outpatient - Hypertension","M14 [Patient Services]","6","NA","0","6"
"Maharashtra","Buldana","Mehkar","2019-2020","April","4.1.2","Number of Pre term newborns ( < 37 weeks of pregnancy)","M4 [Pregnancy outcome & details of new-born]","2","NA","0","2"
"Maharashtra","Buldana","Mehkar","2019-2020","April","4.3.2.b","Post Abortion/ MTP Complications Treated","M4 [Pregnancy outcome & details of new-born]","0","NA","0","0"
"Maharashtra","Buldana","Mehkar","2019-2020","April","9.1.17","Child immunisation - Inactivated Polio Vaccine 1 (IPV 1)","M9 [CHILD IMMUNISATION]","124","NA","124","0"
"Maharashtra","Buldana","Mehkar","2019-2020","April","9.8.3","Child immunisation - Vitamin A Dose - 9","M9 [CHILD IMMUNISATION]","158","NA","158","0"
"Maharashtra","Buldana","Mehkar","2019-2020","April","10.8","Childhood Diseases - Acute Flaccid Paralysis(AFP)","M10 [Number of cases of Childhood Diseases (0-5 years)]","0","NA","0","0"
"Maharashtra","Buldana","Mehkar","2019-2020","April","14.4.4","Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections","M14 [Patient Services]","2","NA","0","2"
"Maharashtra","Buldana","Mehkar","2019-2020","April","14.6.4","Emergency - Snake Bite","M14 [Patient Services]","4","NA","NA","4"
"Maharashtra","Buldana","Mehkar","2019-2020","April","14.20","Patient Satisfaction Score of the facility in percentage (from Mera Aspatal)","M14 [Patient Services]","NA","NA","NA","NA"
"Maharashtra","Buldana","Mehkar","2019-2020","April","10.14","Childhood Diseases - Severe Acute Malnutrition (SAM)","M10 [Number of cases of Childhood Diseases (0-5 years)]","1","NA","1","0"
"Maharashtra","Buldana","Motala","2019-2020","April","9.1.11","Child immunisation - OPV2","M9 [CHILD IMMUNISATION]","252","NA","252","NA"
"Maharashtra","Buldana","Motala","2019-2020","April","9.1.12","Child immunisation - OPV3","M9 [CHILD IMMUNISATION]","226","NA","226","NA"
"Maharashtra","Buldana","Deulgaon Raja","2019-2020","April","14.10","In-Patient Head Count at midnight","M14 [Patient Services]","177","NA","79","98"
"Maharashtra","Buldana","Deulgaon Raja","2019-2020","April","15.1","Number of Lab Tests done","M15 [Laboratory Testing]","2133","NA","1390","743"
"Maharashtra","Buldana","Deulgaon Raja","2019-2020","April","16.6","Total Facility Based Maternal Death Reviews (FBMDR) done","M16 [Details of deaths reported with probable causes:]","0","NA","0","0"
"Maharashtra","Buldana","Jalgaon Jamod","2019-2020","April","1.6.1.a","Number of PW tested using POC test for Syphilis","M1 [Ante Natal Care (ANC)]","0","NA","0","NA"
"Maharashtra","Buldana","Jalgaon Jamod","2019-2020","April","15.4.2","Widal tests - Number Positive","M15 [Laboratory Testing]","98","NA","0","98"
"Maharashtra","Buldana","Jalgaon Jamod","2019-2020","April","16.5.1","Number of Maternal Deaths due to Bleeding","M16 [Details of deaths reported with probable causes:]","0","NA","0","0"
"Maharashtra","Buldana","Jalgaon Jamod","2019-2020","April","8.2.4","Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted","M8 [Family Planning]","0","NA","0","0"
"Maharashtra","Buldana","Jalgaon Jamod","2019-2020","April","8.13","Number of Condom pieces distributed","M8 [Family Planning]","827","NA","815","12"
"Maharashtra","Buldana","Khamgaon","2019-2020","April","11.1.1.c","Malaria (Microscopy Tests ) - Plasmodium Falciparum test positive","M11 [NVBDCP]","0","NA","0","NA"
"Maharashtra","Buldana","Khamgaon","2019-2020","April","11.2.2","Kala Azar Positive Cases","M11 [NVBDCP]","0","NA","0","NA"
"Maharashtra","Buldana","Khamgaon","2019-2020","April","16.2.3","Infant Deaths up to 4 weeks due to Other causes","M16 [Details of deaths reported with probable causes:]","0","NA","0","NA"
"Maharashtra","Buldana","Khamgaon","2019-2020","April","16.7.11","Number of Adolscent / Adult deaths due to Animal bites and stings","M16 [Details of deaths reported with probable causes:]","3","NA","3","NA"
"Maharashtra","Buldana","Khamgaon","2019-2020","April","16.8.5","Number of Deaths due to Acute Encephelitis Syndrome (AES)","M16 [Details of deaths reported with probable causes:]","0","NA","0","NA"
"Maharashtra","Buldana","Lonar","2019-2020","April","9.7.3","Number of Immunisation sessions where ASHAs were present","M9 [CHILD IMMUNISATION]","95","NA","95","0"
"Maharashtra","Buldana","Lonar","2019-2020","April","15.2.1","Number of Hb tests conducted","M15 [Laboratory Testing]","278","NA","224","54"
"Maharashtra","Buldana","Lonar","2019-2020","April","16.7.12","Number of Adolscent / Adult deaths due to Known Acute Disease","M16 [Details of deaths reported with probable causes:]","0","NA","0","0"
"Maharashtra","Buldana","Lonar","2019-2020","April","16.8.4","Number of Deaths due to Dengue","M16 [Details of deaths reported with probable causes:]","0","NA","0","0"
"Maharashtra","Buldana","Malkapur","2019-2020","April","1.4.1","Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs","M1 [Ante Natal Care (ANC)]","95","NA","95","0"
"Maharashtra","Buldana","Malkapur","2019-2020","April","7.2.2","RTI/STI for which treatment initiated -Female","M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases]","0","NA","0","0"
"Maharashtra","Buldana","Malkapur","2019-2020","April","9.2.4.a","Children aged between 9 and 11 months fully immunized- Male","M9 [CHILD IMMUNISATION]","74","NA","33","41"
"Maharashtra","Buldana","Malkapur","2019-2020","April","11.1.1.b","Malaria (Microscopy Tests ) - Plasmodium Vivax test positive","M11 [NVBDCP]","0","NA","0","0"
"Maharashtra","Buldana","Malkapur","2019-2020","April","14.12.4","Outborn - Female","M14 [Patient Services]","0","NA","NA","0"
"Maharashtra","Buldana","Mehkar","2019-2020","April","1.2.1","Number of PW given TT1","M1 [Ante Natal Care (ANC)]","297","NA","223","74"
"Maharashtra","Buldana","Mehkar","2019-2020","April","2.2.1","Out of total institutional deliveries number of women discharged within 48 hours of delivery","M2 [Deliveries]","7","NA","7","0"
"Maharashtra","Buldana","Mehkar","2019-2020","April","7.2.1","RTI/STI for which treatment initiated - Male","M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases]","1","NA","1","0"
"Maharashtra","Buldana","Mehkar","2019-2020","April","9.3.3","Child immunisation - JE 1st dose","M9 [CHILD IMMUNISATION]","0","NA","0","0"
"Maharashtra","Buldana","Mehkar","2019-2020","April","9.11","Number of severely underweight children provided Health Checkup (0-5 yrs)","M9 [CHILD IMMUNISATION]","2","NA","2","0"
"Maharashtra","Buldana","Mehkar","2019-2020","April","11.2.1","Kala Azar (RDT) - Tests Conducted","M11 [NVBDCP]","0","NA","0","0"
"Maharashtra","Buldana","Mehkar","2019-2020","April","12.1.2.a","Out of registered, Girls received clinical services","M12 [Adolscent Health]","0","NA","0","0"
"Maharashtra","Buldana","Mehkar","2019-2020","April","14.3.2.b","Inpatient (Female)- Adults","M14 [Patient Services]","150","NA","108","42"
"Maharashtra","Buldana","Motala","2019-2020","April","1.2.1","Number of PW given TT1","M1 [Ante Natal Care (ANC)]","130","NA","130","NA"
"Maharashtra","Buldana","Motala","2019-2020","April","1.6.2.c","Number of syphilis positive pregnant women treated for Syphilis","M1 [Ante Natal Care (ANC)]","0","NA","0","NA"
"Maharashtra","Buldana","Motala","2019-2020","April","2.2","Number of Institutional Deliveries conducted (Including C-Sections)","M2 [Deliveries]","44","NA","44","NA"
"Maharashtra","Buldana","Buldana","2019-2020","April","2.2","Number of Institutional Deliveries conducted (Including C-Sections)","M2 [Deliveries]","344","2044","2379","9"
"Maharashtra","Buldana","Buldana","2019-2020","April","7.2.1","RTI/STI for which treatment initiated - Male","M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases]","206","NA","206","0"
"Maharashtra","Buldana","Buldana","2019-2020","April","8.6","Number of IUCD Removals","M8 [Family Planning]","19","0","18","1"
"Maharashtra","Buldana","Buldana","2019-2020","April","16.4.2","Number of Child Deaths (1 -5 years) due to Diarrhoea","M16 [Details of deaths reported with probable causes:]","0","0","0","0"
"Maharashtra","Buldana","Buldana","2019-2020","April","16.6","Total Facility Based Maternal Death Reviews (FBMDR) done","M16 [Details of deaths reported with probable causes:]","0","0","0","0"
"Maharashtra","Buldana","Buldana","2019-2020","April","10.13","Children admitted with upper respiratory infections","M10 [Number of cases of Childhood Diseases (0-5 years)]","0","0","0","0"
"Maharashtra","Buldana","Chikhali","2019-2020","April","1.6.2.e","Number of babies treated for congenital Syphilis","M1 [Ante Natal Care (ANC)]","0","NA","0","0"
"Maharashtra","Buldana","Chikhali","2019-2020","April","4.3.3","Number of women provided with post abortion/ MTP contraception","M4 [Pregnancy outcome & details of new-born]","0","NA","0","0"
"Maharashtra","Buldana","Chikhali","2019-2020","April","9.1.9","Child immunisation - OPV 0 (Birth Dose)","M9 [CHILD IMMUNISATION]","163","NA","163","0"
"Maharashtra","Buldana","Chikhali","2019-2020","April","9.1.16","Child immunisation - Hepatitis-B3","M9 [CHILD IMMUNISATION]","0","NA","0","0"
"Maharashtra","Buldana","Chikhali","2019-2020","April","14.1.4","Outpatient - Acute Heart Diseases","M14 [Patient Services]","2","NA","2","0"
"Maharashtra","Buldana","Chikhali","2019-2020","April","14.3.1.a","Inpatient (Male)- Children<18yrs","M14 [Patient Services]","119","NA","43","76"
"Maharashtra","Buldana","Chikhali","2019-2020","April","16.3.2","Number of Infant Deaths (1 -12 months) due to Diarrhoea","M16 [Details of deaths reported with probable causes:]","0","NA","0","0"
"Maharashtra","Buldana","Chikhali","2019-2020","April","16.7.5","Number of Adolscent / Adult deaths due to HIV/AIDS","M16 [Details of deaths reported with probable causes:]","0","NA","0","0"
"Maharashtra","Buldana","Deulgaon Raja","2019-2020","April","8.10","Injectable Contraceptive-Antara Program- Third Dose","M8 [Family Planning]","0","NA","0","0"
"Maharashtra","Buldana","Deulgaon Raja","2019-2020","April","9.1.11","Child immunisation - OPV2","M9 [CHILD IMMUNISATION]","166","NA","128","38"
"Maharashtra","Buldana","Deulgaon Raja","2019-2020","April","11.2.2","Kala Azar Positive Cases","M11 [NVBDCP]","0","NA","0","0"
"Maharashtra","Buldana","Deulgaon Raja","2019-2020","April","14.3.1.b","Inpatient (Male)- Adults","M14 [Patient Services]","154","NA","63","91"
"Maharashtra","Buldana","Deulgaon Raja","2019-2020","April","14.19","Total number of blood units issued in year","M14 [Patient Services]","NA","NA","NA","NA"
"Maharashtra","Buldana","Deulgaon Raja","2019-2020","April","16.7.13","Number of Adolscent / Adult deaths due to Known Chronic Disease","M16 [Details of deaths reported with probable causes:]","0","NA","0","0"
"Maharashtra","Buldana","Jalgaon Jamod","2019-2020","April","8.7","Number of complications following IUCD Insertion","M8 [Family Planning]","0","NA","0","0"
"Maharashtra","Buldana","Buldana","2019-2020","April","4.3.1.a","MTP up to 12 weeks of pregnancy","M4 [Pregnancy outcome & details of new-born]","4","77","81","0"
"Maharashtra","Buldana","Buldana","2019-2020","April","4.4.1","Number of newborns weighed at birth","M4 [Pregnancy outcome & details of new-born]","338","2013","2342","9"
"Maharashtra","Buldana","Buldana","2019-2020","April","9.1.5","Child immunisation - DPT3","M9 [CHILD IMMUNISATION]","0","0","0","0"
"Maharashtra","Buldana","Buldana","2019-2020","April","9.1.15","Child immunisation - Hepatitis-B2","M9 [CHILD IMMUNISATION]","0","0","0","0"
"Maharashtra","Buldana","Buldana","2019-2020","April","9.1.18","Child immunisation - Inactivated Polio Vaccine 2 (IPV 2)","M9 [CHILD IMMUNISATION]","335","68","375","28"
"Maharashtra","Buldana","Buldana","2019-2020","April","14.6.1","Emergency - Trauma ( accident, injury, poisoning etc)","M14 [Patient Services]","121","NA","119","2"
"Maharashtra","Buldana","Buldana","2019-2020","April","15.3.4.c","Number of Female (Non ANC)STI/RTI attendees tested for syphilis","M15 [Laboratory Testing]","0","NA","0","0"
"Maharashtra","Buldana","Chikhali","2019-2020","April","8.4","Number of Postpartum (within 48 hours of delivery) IUCD insertions","M8 [Family Planning]","12","NA","5","7"
"Maharashtra","Buldana","Chikhali","2019-2020","April","9.1.4","Child immunisation - DPT2","M9 [CHILD IMMUNISATION]","0","NA","0","0"
"Maharashtra","Buldana","Chikhali","2019-2020","April","9.5.2","Children more than 5 years received DPT5 (2nd Booster)","M9 [CHILD IMMUNISATION]","109","NA","109","0"
"Maharashtra","Buldana","Chikhali","2019-2020","April","14.1.5","Outpatient - Mental illness","M14 [Patient Services]","1","NA","0","1"
"Maharashtra","Buldana","Chikhali","2019-2020","April","14.4.2","Inpatient - Dengue","M14 [Patient Services]","0","NA","0","0"
"Maharashtra","Buldana","Khamgaon","2019-2020","April","9.1.21","Child immunisation - Rotavirus 3","M9 [CHILD IMMUNISATION]","0","NA","0","NA"
"Maharashtra","Buldana","Khamgaon","2019-2020","April","9.4.5","Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine","M9 [CHILD IMMUNISATION]","0","NA","0","NA"
"Maharashtra","Buldana","Khamgaon","2019-2020","April","10.8","Childhood Diseases - Acute Flaccid Paralysis(AFP)","M10 [Number of cases of Childhood Diseases (0-5 years)]","0","NA","0","NA"
"Maharashtra","Buldana","Khamgaon","2019-2020","April","11.1.2.a","RDT conducted for Malaria","M11 [NVBDCP]","62","NA","62","NA"
"Maharashtra","Buldana","Lonar","2019-2020","April","1.2.3","Number of PW given TT Booster","M1 [Ante Natal Care (ANC)]","62","NA","52","10"
"Maharashtra","Buldana","Lonar","2019-2020","April","1.6.2.e","Number of babies treated for congenital Syphilis","M1 [Ante Natal Care (ANC)]","0","NA","0","NA"
"Maharashtra","Buldana","Lonar","2019-2020","April","4.3.1.b","MTP more than 12 weeks of pregnancy","M4 [Pregnancy outcome & details of new-born]","0","NA","0","0"
"Maharashtra","Buldana","Lonar","2019-2020","April","8.8","Injectable Contraceptive-Antara Program- First Dose","M8 [Family Planning]","0","NA","0","0"
"Maharashtra","Buldana","Lonar","2019-2020","April","8.17.1","Complications following male sterilization","M8 [Family Planning]","0","NA","0","0"
"Maharashtra","Buldana","Lonar","2019-2020","April","9.1.1","Child immunisation - Vitamin K1 (Birth Dose)","M9 [CHILD IMMUNISATION]","18","NA","9","9"
"Maharashtra","Buldana","Lonar","2019-2020","April","14.4.3","Inpatient - Typhoid","M14 [Patient Services]","88","NA","62","26"
"Maharashtra","Buldana","Lonar","2019-2020","April","14.13","Number of deaths occurring at SNCU","M14 [Patient Services]","0","NA","0","0"
"Maharashtra","Buldana","Lonar","2019-2020","April","15.3.4.b","Number of Male STI/RTI attendees found sero Positive for syphilis","M15 [Laboratory Testing]","0","NA","0","NA"
"Maharashtra","Buldana","Lonar","2019-2020","April","16.7.1","Number of Adolscent / Adult deaths due to Diarrhoeal diseases","M16 [Details of deaths reported with probable causes:]","0","NA","0","0"
"Maharashtra","Buldana","Malkapur","2019-2020","April","1.6.2.a","Number of pregnant women tested  for Syphilis","M1 [Ante Natal Care (ANC)]","0","NA","0","0"
"Maharashtra","Buldana","Malkapur","2019-2020","April","14.3.1.b","Inpatient (Male)- Adults","M14 [Patient Services]","181","NA","35","146"
"Maharashtra","Buldana","Malkapur","2019-2020","April","15.3.4.d","Number of Female (Non ANC) STI/RTI attendees found sero Positive for syphilis","M15 [Laboratory Testing]","0","NA","0","0"
"Maharashtra","Buldana","Mehkar","2019-2020","April","1.2.3","Number of PW given TT Booster","M1 [Ante Natal Care (ANC)]","142","NA","110","32"
"Maharashtra","Buldana","Mehkar","2019-2020","April","2.1.1.a","Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM)","M2 [Deliveries]","1","NA","1","NA"
"Maharashtra","Buldana","Mehkar","2019-2020","April","9.1.10","Child immunisation - OPV1","M9 [CHILD IMMUNISATION]","366","NA","312","54"
"Maharashtra","Buldana","Mehkar","2019-2020","April","9.4.6","Number of children more than 16 months of age who received Japanese Encephalitis (JE) vaccine","M9 [CHILD IMMUNISATION]","0","NA","0","0"
"Maharashtra","Buldana","Mehkar","2019-2020","April","11.2.3","Post-kala-azar dermal leishmaniasis (PKDL) cases","M11 [NVBDCP]","0","NA","0","0"
"Maharashtra","Buldana","Mehkar","2019-2020","April","15.3.4.b","Number of Male STI/RTI attendees found sero Positive for syphilis","M15 [Laboratory Testing]","0","NA","0","0"
"Maharashtra","Buldana","Motala","2019-2020","April","2.1.1.b","Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.)","M2 [Deliveries]","0","NA","0","NA"
"Maharashtra","Buldana","Motala","2019-2020","April","4.3.2.b","Post Abortion/ MTP Complications Treated","M4 [Pregnancy outcome & details of new-born]","0","NA","0","NA"
"Maharashtra","Buldana","Motala","2019-2020","April","9.1.4","Child immunisation - DPT2","M9 [CHILD IMMUNISATION]","0","NA","0","NA"
"Maharashtra","Buldana","Motala","2019-2020","April","9.10","Number of children (12-59 months) provided Albendazole","M9 [CHILD IMMUNISATION]","7","NA","7","NA"
"Maharashtra","Buldana","Motala","2019-2020","April","10.11","Childhood Diseases - Diarrhoea","M10 [Number of cases of Childhood Diseases (0-5 years)]","0","NA","0","NA"
"Maharashtra","Buldana","Motala","2019-2020","April","14.9.2","Inpatient Deaths - Female","M14 [Patient Services]","0","NA","0","NA"
"Maharashtra","Buldana","Motala","2019-2020","April","16.2.2","Infant Deaths up to 4 weeks due to Asphyxia","M16 [Details of deaths reported with probable causes:]","0","NA","0","NA"
"Maharashtra","Buldana","Motala","2019-2020","April","16.2.3","Infant Deaths up to 4 weeks due to Other causes","M16 [Details of deaths reported with probable causes:]","0","NA","0","NA"
"Maharashtra","Buldana","Nandura","2019-2020","April","9.1.15","Child immunisation - Hepatitis-B2","M9 [CHILD IMMUNISATION]","0","NA","0","NA"
"Maharashtra","Buldana","Nandura","2019-2020","April","9.4.4","Child immunisation - OPV Booster","M9 [CHILD IMMUNISATION]","266","NA","266","NA"
"Maharashtra","Buldana","Nandura","2019-2020","April","9.8.1","Child immunisation - Vitamin A Dose - 1","M9 [CHILD IMMUNISATION]","194","NA","194","NA"
"Maharashtra","Buldana","Nandura","2019-2020","April","10.4","Childhood Diseases - Diphtheria","M10 [Number of cases of Childhood Diseases (0-5 years)]","0","NA","0","NA"
"Maharashtra","Buldana","Chikhali","2019-2020","April","9.1.5","Child immunisation - DPT3","M9 [CHILD IMMUNISATION]","0","NA","0","0"
"Maharashtra","Buldana","Chikhali","2019-2020","April","9.1.8","Child immunisation - Pentavalent 3","M9 [CHILD IMMUNISATION]","362","NA","292","70"
